"species","year","country","mean"
"Aeshna_cyanea",2005,"Spain",0.0157
"Aeshna_cyanea",2005,"Sweden",0.00983
"Aeshna_cyanea",2005,"Switzerland",0.36189
"Aeshna_cyanea",2005,"United Kingdom",0.19904
"Aeshna_cyanea",2005,"All",0.0627
"Aeshna_cyanea",2006,"Austria",0.03798
"Aeshna_cyanea",2006,"Belgium",0.23542
"Aeshna_cyanea",2006,"Cyprus",0
"Aeshna_cyanea",2006,"Czechia",0.17341
"Aeshna_cyanea",2006,"Denmark",0.02648
"Aeshna_cyanea",2006,"Finland",0.0208
"Aeshna_cyanea",2006,"France",0.08457
"Aeshna_cyanea",2006,"Ireland",0
"Aeshna_cyanea",2006,"Isle of Man",0
"Aeshna_cyanea",2006,"Italy",0.02537
"Aeshna_cyanea",2006,"Luxembourg",0.0699
"Aeshna_cyanea",2006,"Netherlands",0.38257
"Aeshna_cyanea",2006,"Portugal",0.00114
"Aeshna_cyanea",2006,"Slovenia",0.05659
"Aeshna_cyanea",2006,"Spain",0.02129
"Aeshna_cyanea",2006,"Sweden",0.02437
"Aeshna_cyanea",2006,"Switzerland",0.34931
"Aeshna_cyanea",2006,"United Kingdom",0.20086
"Aeshna_cyanea",2006,"All",0.0683
"Aeshna_cyanea",2007,"Austria",0.06038
"Aeshna_cyanea",2007,"Belgium",0.18912
"Aeshna_cyanea",2007,"Cyprus",0
"Aeshna_cyanea",2007,"Czechia",0.14369
"Aeshna_cyanea",2007,"Denmark",0.05731
"Aeshna_cyanea",2007,"Finland",0.04419
"Aeshna_cyanea",2007,"France",0.08878
"Aeshna_cyanea",2007,"Ireland",0
"Aeshna_cyanea",2007,"Isle of Man",0
"Aeshna_cyanea",2007,"Italy",0.04043
"Aeshna_cyanea",2007,"Luxembourg",0.00159
"Aeshna_cyanea",2007,"Netherlands",0.3262
"Aeshna_cyanea",2007,"Portugal",0.0115
"Aeshna_cyanea",2007,"Slovenia",0.30643
"Aeshna_cyanea",2007,"Spain",0.01729
"Aeshna_cyanea",2007,"Sweden",0.03268
"Aeshna_cyanea",2007,"Switzerland",0.34964
"Aeshna_cyanea",2007,"United Kingdom",0.20518
"Aeshna_cyanea",2007,"All",0.07508
"Aeshna_cyanea",2008,"Austria",0.04862
"Aeshna_cyanea",2008,"Belgium",0.26787
"Aeshna_cyanea",2008,"Cyprus",0
"Aeshna_cyanea",2008,"Czechia",0.11658
"Aeshna_cyanea",2008,"Denmark",0.07562
"Aeshna_cyanea",2008,"Finland",0.02492
"Aeshna_cyanea",2008,"France",0.09752
"Aeshna_cyanea",2008,"Ireland",0
"Aeshna_cyanea",2008,"Isle of Man",0
"Aeshna_cyanea",2008,"Italy",0.02591
"Aeshna_cyanea",2008,"Luxembourg",0.34366
"Aeshna_cyanea",2008,"Netherlands",0.32595
"Aeshna_cyanea",2008,"Portugal",0.01123
"Aeshna_cyanea",2008,"Slovenia",0.13886
"Aeshna_cyanea",2008,"Spain",0.02198
"Aeshna_cyanea",2008,"Sweden",0.02987
"Aeshna_cyanea",2008,"Switzerland",0.32262
"Aeshna_cyanea",2008,"United Kingdom",0.22103
"Aeshna_cyanea",2008,"All",0.07394
"Aeshna_cyanea",2009,"Austria",0.06701
"Aeshna_cyanea",2009,"Belgium",0.35954
"Aeshna_cyanea",2009,"Cyprus",0
"Aeshna_cyanea",2009,"Czechia",0.18414
"Aeshna_cyanea",2009,"Denmark",0.05051
"Aeshna_cyanea",2009,"Finland",0.05256
"Aeshna_cyanea",2009,"France",0.1266
"Aeshna_cyanea",2009,"Ireland",0
"Aeshna_cyanea",2009,"Isle of Man",0
"Aeshna_cyanea",2009,"Italy",0.04339
"Aeshna_cyanea",2009,"Luxembourg",0.36831
"Aeshna_cyanea",2009,"Netherlands",0.31744
"Aeshna_cyanea",2009,"Portugal",0.00771
"Aeshna_cyanea",2009,"Slovenia",0.1031
"Aeshna_cyanea",2009,"Spain",0.03004
"Aeshna_cyanea",2009,"Sweden",0.04971
"Aeshna_cyanea",2009,"Switzerland",0.34009
"Aeshna_cyanea",2009,"United Kingdom",0.23023
"Aeshna_cyanea",2009,"All",0.09246
"Aeshna_cyanea",2010,"Austria",0.06945
"Aeshna_cyanea",2010,"Belgium",0.36843
"Aeshna_cyanea",2010,"Cyprus",0
"Aeshna_cyanea",2010,"Czechia",0.17039
"Aeshna_cyanea",2010,"Denmark",0.12574
"Aeshna_cyanea",2010,"Finland",0.04266
"Aeshna_cyanea",2010,"France",0.14101
"Aeshna_cyanea",2010,"Ireland",0
"Aeshna_cyanea",2010,"Isle of Man",0
"Aeshna_cyanea",2010,"Italy",0.03979
"Aeshna_cyanea",2010,"Luxembourg",0.43628
"Aeshna_cyanea",2010,"Netherlands",0.32231
"Aeshna_cyanea",2010,"Portugal",0.02873
"Aeshna_cyanea",2010,"Slovenia",0.19928
"Aeshna_cyanea",2010,"Spain",0.04525
"Aeshna_cyanea",2010,"Sweden",0.05139
"Aeshna_cyanea",2010,"Switzerland",0.33693
"Aeshna_cyanea",2010,"United Kingdom",0.20854
"Aeshna_cyanea",2010,"All",0.09748
"Aeshna_cyanea",2011,"Austria",0.04933
"Aeshna_cyanea",2011,"Belgium",0.33977
"Aeshna_cyanea",2011,"Cyprus",0
"Aeshna_cyanea",2011,"Czechia",0.16226
"Aeshna_cyanea",2011,"Denmark",0.13252
"Aeshna_cyanea",2011,"Finland",0.04178
"Aeshna_cyanea",2011,"France",0.1533
"Aeshna_cyanea",2011,"Ireland",0
"Aeshna_cyanea",2011,"Isle of Man",0
"Aeshna_cyanea",2011,"Italy",0.05226
"Aeshna_cyanea",2011,"Luxembourg",0.25803
"Aeshna_cyanea",2011,"Netherlands",0.31381
"Aeshna_cyanea",2011,"Portugal",0.02299
"Aeshna_cyanea",2011,"Slovenia",0.1408
"Aeshna_cyanea",2011,"Spain",0.03628
"Aeshna_cyanea",2011,"Sweden",0.05843
"Aeshna_cyanea",2011,"Switzerland",0.31678
"Aeshna_cyanea",2011,"United Kingdom",0.22593
"Aeshna_cyanea",2011,"All",0.09994
"Aeshna_cyanea",2012,"Austria",0.10992
"Aeshna_cyanea",2012,"Belgium",0.3775
"Aeshna_cyanea",2012,"Cyprus",0
"Aeshna_cyanea",2012,"Czechia",0.1829
"Aeshna_cyanea",2012,"Denmark",0.10801
"Aeshna_cyanea",2012,"Finland",0.01921
"Aeshna_cyanea",2012,"France",0.17815
"Aeshna_cyanea",2012,"Ireland",0
"Aeshna_cyanea",2012,"Isle of Man",0
"Aeshna_cyanea",2012,"Italy",0.0695
"Aeshna_cyanea",2012,"Luxembourg",0.2779
"Aeshna_cyanea",2012,"Netherlands",0.32455
"Aeshna_cyanea",2012,"Portugal",0.0223
"Aeshna_cyanea",2012,"Slovenia",0.1735
